Mc,P_at_least_one,P_lower,P_upper,catalog,horizon,model,rate_per_year,status,threshold
4.125000000000002,0.5128363877885045,0.7274898684258619,0.129102526603178,"USGS+ISC merged (5,779 events)",7d,Spatial Poisson,37.52449373453116,VALIDATED,4.5
4.125000000000002,0.9541368786476074,0.9961962551987288,0.4470118238528149,"USGS+ISC merged (5,779 events)",30d,Spatial Poisson,37.52449373453116,VALIDATED,4.5
4.125000000000002,1.0,1.0,0.999262833793123,"USGS+ISC merged (5,779 events)",1y,Spatial Poisson,37.52449373453116,VALIDATED,4.5
4.125000000000002,0.1790075357095673,0.4201710734682733,-0.16246119429296257,"USGS+ISC merged (5,779 events)",7d,Spatial Poisson,10.291771779270489,VALIDATED,5.0
4.125000000000002,0.5705801056382576,0.9032678358304229,-0.9063095223465041,"USGS+ISC merged (5,779 events)",30d,Spatial Poisson,10.291771779270489,VALIDATED,5.0
4.125000000000002,0.9999660890226131,0.999999999999554,-2577.427087997199,"USGS+ISC merged (5,779 events)",1y,Spatial Poisson,10.291771779270489,VALIDATED,5.0
4.125000000000002,0.02552421350640266,0.09754745519701591,-0.05224708371743181,"USGS+ISC merged (5,779 events)",7d,Spatial Poisson,1.3491086602039968,VALIDATED,5.5
4.125000000000002,0.10489096939146247,0.35588768513147295,-0.24391376811433374,"USGS+ISC merged (5,779 events)",30d,Spatial Poisson,1.3491086602039968,VALIDATED,5.5
4.125000000000002,0.7405285651810039,0.9952782008324115,-13.258426311132764,"USGS+ISC merged (5,779 events)",1y,Spatial Poisson,1.3491086602039968,VALIDATED,5.5
4.125000000000002,0.008093120976854218,0.019812122676857613,-0.0037659916182357644,"USGS+ISC merged (5,779 events)",7d,Spatial Poisson,0.4240055789212561,VALIDATED,6.0
4.125000000000002,0.0342264767516699,0.0821868865081874,-0.016240108685059873,"USGS+ISC merged (5,779 events)",30d,Spatial Poisson,0.4240055789212561,VALIDATED,6.0
4.125000000000002,0.34557976906026244,0.6480077534724957,-0.21669111433042643,"USGS+ISC merged (5,779 events)",1y,Spatial Poisson,0.4240055789212561,VALIDATED,6.0
4.125000000000002,0.0029505650673352646,0.008438789374570654,-0.002568036190635725,"USGS+ISC merged (5,779 events)",7d,Spatial Poisson,0.15418384688045678,DATA-LIMITED,6.5
4.125000000000002,0.012584120346506689,0.035668056384687286,-0.011052393158948348,"USGS+ISC merged (5,779 events)",30d,Spatial Poisson,0.15418384688045678,DATA-LIMITED,6.5
4.125000000000002,0.14288557128843815,0.35737401361730625,-0.14319240035844816,"USGS+ISC merged (5,779 events)",1y,Spatial Poisson,0.15418384688045678,DATA-LIMITED,6.5
4.125000000000002,0.00036929761356996327,0.003019896784057008,-0.002288348513962646,"USGS+ISC merged (5,779 events)",7d,Spatial Poisson,0.019272980860057097,DATA-LIMITED,7.0
4.125000000000002,0.001581744096652682,0.0128783517141966,-0.00984414175512538,"USGS+ISC merged (5,779 events)",30d,Spatial Poisson,0.019272980860057097,DATA-LIMITED,7.0
4.125000000000002,0.019088444388663972,0.14598994273954058,-0.12666996337070002,"USGS+ISC merged (5,779 events)",1y,Spatial Poisson,0.019272980860057097,DATA-LIMITED,7.0
