K,Mc,alpha,c_days,converged,explosive,fitting_period_days,fixed_parameters,gamma,ident_K,ident_alpha,ident_c_days,ident_gamma,ident_mu_total_per_year,ident_p,ident_q,ident_sigma_km,log_likelihood,model,mu_total_per_year,n_analytic,n_empirical,n_evaluations,n_events_used,notes,p,plausible,q,sigma_km,spatial_kernel,std_K,std_alpha,std_c_days,std_gamma,std_mu_total_per_year,std_p,std_q,std_sigma_km
0.0,4.0,0.0,1.0,True,False,0.0-18941.4,none,0.0,at_lower_bound (0 ≈ 1e-08),at_lower_bound (0 ≈ 0),at_upper_bound (1 ≈ 1),at_lower_bound (0 ≈ 0),flat_likelihood (not identifiable),at_lower_bound (1.01 ≈ 1.01),flat_likelihood (not identifiable),flat_likelihood (not identifiable),-11483.563,etas,44.119943,0.0,0.0,90,2288,"Parameter mu_total_per_year: flat_likelihood (not identifiable).; Parameter K: at_lower_bound (0 ≈ 1e-08).; Parameter alpha: at_lower_bound (0 ≈ 0).; Parameter c_days: at_upper_bound (1 ≈ 1).; Parameter p: at_lower_bound (1.01 ≈ 1.01).; Parameter sigma_km: flat_likelihood (not identifiable).; Parameter gamma: at_lower_bound (0 ≈ 0).; Parameter q: flat_likelihood (not identifiable).; NO TRIGGERING DETECTED in-sample: MLE selected K≈0, α≈0. The ETAS model reduces to the background Poisson. This is a SCIENTIFIC FINDING (the Bangladesh USGS catalog does not exhibit the Omori-law clustering that ETAS is designed to capture, likely because the seismicity is dominated by deep Indo-Burman subduction events), NOT a fit failure. ETAS forecasts will equal the Poisson baseline; the event-conditioned backtest (Section 6) tests whether a FORCED-triggering variant still adds prospective skill.",1.01,True,2.3969,9.94,powerlaw,,,,,,,,
0.0,4.5,0.0,1.0,True,False,0.0-18941.4,none,0.0,at_lower_bound (0 ≈ 1e-08),at_lower_bound (0 ≈ 0),at_upper_bound (1 ≈ 1),at_lower_bound (0 ≈ 0),flat_likelihood (not identifiable),at_lower_bound (1.01 ≈ 1.01),flat_likelihood (not identifiable),flat_likelihood (not identifiable),-10454.155,etas,38.315702,0.0,0.0,90,1987,"Parameter mu_total_per_year: flat_likelihood (not identifiable).; Parameter K: at_lower_bound (0 ≈ 1e-08).; Parameter alpha: at_lower_bound (0 ≈ 0).; Parameter c_days: at_upper_bound (1 ≈ 1).; Parameter p: at_lower_bound (1.01 ≈ 1.01).; Parameter sigma_km: flat_likelihood (not identifiable).; Parameter gamma: at_lower_bound (0 ≈ 0).; Parameter q: flat_likelihood (not identifiable).; NO TRIGGERING DETECTED in-sample: MLE selected K≈0, α≈0. The ETAS model reduces to the background Poisson. This is a SCIENTIFIC FINDING (the Bangladesh USGS catalog does not exhibit the Omori-law clustering that ETAS is designed to capture, likely because the seismicity is dominated by deep Indo-Burman subduction events), NOT a fit failure. ETAS forecasts will equal the Poisson baseline; the event-conditioned backtest (Section 6) tests whether a FORCED-triggering variant still adds prospective skill.",1.01,True,2.3515,9.941,powerlaw,,,,,,,,
0.0,5.0,0.0,1.0,True,False,0.0-18777.6,none,0.4449,at_lower_bound (0 ≈ 1e-08),at_lower_bound (0 ≈ 0),at_upper_bound (1 ≈ 1),flat_likelihood (not identifiable),flat_likelihood (not identifiable),at_lower_bound (1.01 ≈ 1.01),flat_likelihood (not identifiable),flat_likelihood (not identifiable),-4180.215,etas,12.448901,0.0,0.0,90,640,"Parameter mu_total_per_year: flat_likelihood (not identifiable).; Parameter K: at_lower_bound (0 ≈ 1e-08).; Parameter alpha: at_lower_bound (0 ≈ 0).; Parameter c_days: at_upper_bound (1 ≈ 1).; Parameter p: at_lower_bound (1.01 ≈ 1.01).; Parameter sigma_km: flat_likelihood (not identifiable).; Parameter gamma: flat_likelihood (not identifiable).; Parameter q: flat_likelihood (not identifiable).; NO TRIGGERING DETECTED in-sample: MLE selected K≈0, α≈0. The ETAS model reduces to the background Poisson. This is a SCIENTIFIC FINDING (the Bangladesh USGS catalog does not exhibit the Omori-law clustering that ETAS is designed to capture, likely because the seismicity is dominated by deep Indo-Burman subduction events), NOT a fit failure. ETAS forecasts will equal the Poisson baseline; the event-conditioned backtest (Section 6) tests whether a FORCED-triggering variant still adds prospective skill.",1.01,True,1.8223,9.988,powerlaw,,,,,,,,
