bin,config,mean_pred,model,n,obs_freq,origin
0.71-0.86,M4.5_7d,,v2,0,,2023
0.86-1.00,M4.5_7d,,v2,0,,2023
0.00-0.14,M4.5_7d,0.0108,v1,64,0.0312,2023
0.14-0.29,M4.5_7d,,v1,0,,2023
0.29-0.43,M4.5_7d,,v1,0,,2023
0.43-0.57,M4.5_7d,,v1,0,,2023
0.57-0.71,M4.5_7d,,v1,0,,2023
0.71-0.86,M4.5_7d,,v1,0,,2023
0.86-1.00,M4.5_7d,,v1,0,,2023
0.00-0.14,M4.5_30d,0.0319,v2,61,0.0656,2015
0.14-0.29,M4.5_30d,0.2472,v2,3,0.3333,2015
0.29-0.43,M4.5_30d,,v2,0,,2015
0.43-0.57,M4.5_30d,,v2,0,,2015
0.57-0.71,M4.5_30d,,v2,0,,2015
0.71-0.86,M4.5_30d,,v2,0,,2015
0.86-1.00,M4.5_30d,,v2,0,,2015
0.00-0.14,M4.5_30d,0.0316,v1,61,0.0656,2015
0.14-0.29,M4.5_30d,0.251,v1,3,0.3333,2015
0.29-0.43,M4.5_30d,,v1,0,,2015
0.43-0.57,M4.5_30d,,v1,0,,2015
0.57-0.71,M4.5_30d,,v1,0,,2015
0.71-0.86,M4.5_30d,,v1,0,,2015
0.86-1.00,M4.5_30d,,v1,0,,2015
0.00-0.14,M4.5_30d,0.0323,v2,61,0.0164,2016
0.14-0.29,M4.5_30d,0.2523,v2,3,0.3333,2016
0.29-0.43,M4.5_30d,,v2,0,,2016
0.43-0.57,M4.5_30d,,v2,0,,2016
0.57-0.71,M4.5_30d,,v2,0,,2016
0.71-0.86,M4.5_30d,,v2,0,,2016
0.86-1.00,M4.5_30d,,v2,0,,2016
0.00-0.14,M4.5_30d,0.032,v1,61,0.0164,2016
0.14-0.29,M4.5_30d,0.256,v1,3,0.3333,2016
0.29-0.43,M4.5_30d,,v1,0,,2016
0.43-0.57,M4.5_30d,,v1,0,,2016
0.57-0.71,M4.5_30d,,v1,0,,2016
0.71-0.86,M4.5_30d,,v1,0,,2016
0.86-1.00,M4.5_30d,,v1,0,,2016
0.00-0.14,M4.5_30d,0.0327,v2,61,0.0656,2017
0.14-0.29,M4.5_30d,0.2571,v2,3,1.0,2017
0.29-0.43,M4.5_30d,,v2,0,,2017
0.43-0.57,M4.5_30d,,v2,0,,2017
0.57-0.71,M4.5_30d,,v2,0,,2017
0.71-0.86,M4.5_30d,,v2,0,,2017
0.86-1.00,M4.5_30d,,v2,0,,2017
0.00-0.14,M4.5_30d,0.0324,v1,61,0.0656,2017
0.14-0.29,M4.5_30d,0.2608,v1,3,1.0,2017
0.29-0.43,M4.5_30d,,v1,0,,2017
0.43-0.57,M4.5_30d,,v1,0,,2017
0.57-0.71,M4.5_30d,,v1,0,,2017
0.71-0.86,M4.5_30d,,v1,0,,2017
0.86-1.00,M4.5_30d,,v1,0,,2017
0.00-0.14,M4.5_30d,0.033,v2,61,0.0164,2018
0.14-0.29,M4.5_30d,0.2608,v2,3,0.6667,2018
0.29-0.43,M4.5_30d,,v2,0,,2018
0.43-0.57,M4.5_30d,,v2,0,,2018
0.57-0.71,M4.5_30d,,v2,0,,2018
0.71-0.86,M4.5_30d,,v2,0,,2018
0.86-1.00,M4.5_30d,,v2,0,,2018
0.00-0.14,M4.5_30d,0.0327,v1,61,0.0164,2018
0.14-0.29,M4.5_30d,0.2529,v1,2,1.0,2018
0.29-0.43,M4.5_30d,0.2872,v1,1,0.0,2018
0.43-0.57,M4.5_30d,,v1,0,,2018
0.57-0.71,M4.5_30d,,v1,0,,2018
0.71-0.86,M4.5_30d,,v1,0,,2018
0.86-1.00,M4.5_30d,,v1,0,,2018
0.00-0.14,M4.5_30d,0.0329,v2,61,0.0,2019
0.14-0.29,M4.5_30d,0.2598,v2,3,0.3333,2019
0.29-0.43,M4.5_30d,,v2,0,,2019
0.43-0.57,M4.5_30d,,v2,0,,2019
0.57-0.71,M4.5_30d,,v2,0,,2019
0.71-0.86,M4.5_30d,,v2,0,,2019
0.86-1.00,M4.5_30d,,v2,0,,2019
0.00-0.14,M4.5_30d,0.0326,v1,61,0.0,2019
0.14-0.29,M4.5_30d,0.2521,v1,2,0.5,2019
0.29-0.43,M4.5_30d,0.2857,v1,1,0.0,2019
0.43-0.57,M4.5_30d,,v1,0,,2019
0.57-0.71,M4.5_30d,,v1,0,,2019
0.71-0.86,M4.5_30d,,v1,0,,2019
0.86-1.00,M4.5_30d,,v1,0,,2019
0.00-0.14,M4.5_30d,0.0327,v2,61,0.0328,2020
0.14-0.29,M4.5_30d,0.2581,v2,3,0.0,2020
0.29-0.43,M4.5_30d,,v2,0,,2020
0.43-0.57,M4.5_30d,,v2,0,,2020
0.57-0.71,M4.5_30d,,v2,0,,2020
0.71-0.86,M4.5_30d,,v2,0,,2020
0.86-1.00,M4.5_30d,,v2,0,,2020
0.00-0.14,M4.5_30d,0.0325,v1,61,0.0328,2020
0.14-0.29,M4.5_30d,0.2615,v1,3,0.0,2020
0.29-0.43,M4.5_30d,,v1,0,,2020
0.43-0.57,M4.5_30d,,v1,0,,2020
0.57-0.71,M4.5_30d,,v1,0,,2020
0.71-0.86,M4.5_30d,,v1,0,,2020
0.86-1.00,M4.5_30d,,v1,0,,2020
0.00-0.14,M4.5_30d,0.0326,v2,61,0.0328,2021
0.14-0.29,M4.5_30d,0.2577,v2,3,0.0,2021
0.29-0.43,M4.5_30d,,v2,0,,2021
0.43-0.57,M4.5_30d,,v2,0,,2021
0.57-0.71,M4.5_30d,,v2,0,,2021
0.71-0.86,M4.5_30d,,v2,0,,2021
0.86-1.00,M4.5_30d,,v2,0,,2021
0.00-0.14,M4.5_30d,0.0323,v1,61,0.0328,2021
0.14-0.29,M4.5_30d,0.2611,v1,3,0.0,2021
0.29-0.43,M4.5_30d,,v1,0,,2021
0.43-0.57,M4.5_30d,,v1,0,,2021
0.57-0.71,M4.5_30d,,v1,0,,2021
0.71-0.86,M4.5_30d,,v1,0,,2021
0.86-1.00,M4.5_30d,,v1,0,,2021
0.00-0.14,M4.5_30d,0.0329,v2,61,0.0984,2022
0.14-0.29,M4.5_30d,0.2608,v2,3,0.6667,2022
0.29-0.43,M4.5_30d,,v2,0,,2022
0.43-0.57,M4.5_30d,,v2,0,,2022
0.57-0.71,M4.5_30d,,v2,0,,2022
0.71-0.86,M4.5_30d,,v2,0,,2022
0.86-1.00,M4.5_30d,,v2,0,,2022
0.00-0.14,M4.5_30d,0.0327,v1,61,0.0984,2022
0.14-0.29,M4.5_30d,0.264,v1,3,0.6667,2022
0.29-0.43,M4.5_30d,,v1,0,,2022
0.43-0.57,M4.5_30d,,v1,0,,2022
0.57-0.71,M4.5_30d,,v1,0,,2022
0.71-0.86,M4.5_30d,,v1,0,,2022
0.86-1.00,M4.5_30d,,v1,0,,2022
