cell_id,expected_count,forecast_start_days,horizon_days,lat_center,lon_center,probability_at_least_one,rate_per_year,threshold
cell_02_07,3.581412,18941.366,0.0821,22.5,95.5,0.972164,15926.246697,5.0
cell_03_00,1.978708,18941.366,0.0821,23.5,88.5,0.861752,8799.155123,5.0
cell_03_01,2.589746,18941.366,0.0821,23.5,89.5,0.924961,11516.391308,5.0
cell_03_02,3.783352,18941.366,0.0821,23.5,90.5,0.977254,16824.258607,5.0
cell_03_03,5.364374,18941.366,0.0821,23.5,91.5,0.99532,23854.934042,5.0
cell_03_04,5.855982,18941.366,0.0821,23.5,92.5,0.997137,26041.074572,5.0
cell_03_05,5.33611,18941.366,0.0821,23.5,93.5,0.995185,23729.24676,5.0
cell_03_06,4.98436,18941.366,0.0821,23.5,94.5,0.993156,22165.046125,5.0
cell_03_07,3.487384,18941.366,0.0821,23.5,95.5,0.969419,15508.11483,5.0
cell_04_00,1.850493,18941.366,0.0821,24.5,88.5,0.84284,8228.992088,5.0
cell_04_01,3.162591,18941.366,0.0821,24.5,89.5,0.957684,14063.785085,5.0
cell_04_02,4.804057,18941.366,0.0821,24.5,90.5,0.991804,21363.251408,5.0
cell_04_03,6.022202,18941.366,0.0821,24.5,91.5,0.997576,26780.241243,5.0
cell_04_04,5.915635,18941.366,0.0821,24.5,92.5,0.997303,26306.349806,5.0
cell_04_05,4.858858,18941.366,0.0821,24.5,93.5,0.992241,21606.94731,5.0
cell_04_06,4.432787,18941.366,0.0821,24.5,94.5,0.988119,19712.245491,5.0
cell_04_07,3.543707,18941.366,0.0821,24.5,95.5,0.971094,15758.57501,5.0
cell_05_00,2.340378,18941.366,0.0821,25.5,88.5,0.903709,10407.469646,5.0
cell_05_01,4.851693,18941.366,0.0821,25.5,89.5,0.992185,21575.086168,5.0
cell_05_02,6.936036,18941.366,0.0821,25.5,90.5,0.999028,30843.990503,5.0
cell_05_03,6.54316,18941.366,0.0821,25.5,91.5,0.99856,29096.901453,5.0
cell_05_04,5.631457,18941.366,0.0821,25.5,92.5,0.996417,25042.632969,5.0
cell_05_05,4.711178,18941.366,0.0821,25.5,93.5,0.991006,20950.225564,5.0
cell_05_06,5.119197,18941.366,0.0821,25.5,94.5,0.994019,22764.651609,5.0
cell_05_07,5.643935,18941.366,0.0821,25.5,95.5,0.996461,25098.120951,5.0
cell_06_00,3.302086,18941.366,0.0821,26.5,88.5,0.963194,14684.107651,5.0
cell_06_01,4.698327,18941.366,0.0821,26.5,89.5,0.990889,20893.078249,5.0
cell_06_02,6.121457,18941.366,0.0821,26.5,90.5,0.997805,27221.622659,5.0
cell_06_03,6.379814,18941.366,0.0821,26.5,91.5,0.998305,28370.516243,5.0
cell_06_04,6.372204,18941.366,0.0821,26.5,92.5,0.998292,28336.67564,5.0
cell_06_05,5.175361,18941.366,0.0821,26.5,93.5,0.994346,23014.408151,5.0
