R_per_bin,bin_centers_days,cv_iet,median_iet_days,n_events,n_mainshocks,n_targets,peak_R,peak_lag_days,regime
"[0.0, 15.501952069329727, 0.0, 0.0, 6.604625503426354, 11.833504743226042, 9.423149103629786, 4.220863073768549, 3.3611193769871806, 1.505529044360386, 1.4985865317050835, 1.790011240038447, 1.4992659254794132, 1.1201099995661528, 1.0321203169187811, 0.8806645477713791, 0.9089871905854162, 0.9551375451229726, 0.7971531185132412, 0.8735528489047674]","[0.0012939813929797744, 0.0021666267165504688, 0.003627773439663084, 0.006074299753156562, 0.01017073367586719, 0.017029752845447478, 0.02851441117420658, 0.04774418348819862, 0.07994228052013093, 0.13385438283469586, 0.22412415166897195, 0.37527075541015453, 0.6283487915845369, 1.0520995792870258, 1.7616227476853743, 2.94963971686557, 4.938840890163553, 8.26953515674511, 13.846409153379053, 23.184259188546864]",1.3589,3.8992,,403,1910,15.502,0.002167,all
,,1.6477,23.1808,273,,,,,shallow
,,1.3219,9.1204,862,,,,,intermediate
,,1.3596,10.3953,775,,,,,deep
