bin,config,mean_pred,n,obs_freq,origin_year
0.71-0.86,M5.0_30d,,0,,2016
0.86-1.00,M5.0_30d,,0,,2016
0.00-0.14,M5.0_30d,0.0154,64,0.0156,2017
0.14-0.29,M5.0_30d,,0,,2017
0.29-0.43,M5.0_30d,,0,,2017
0.43-0.57,M5.0_30d,,0,,2017
0.57-0.71,M5.0_30d,,0,,2017
0.71-0.86,M5.0_30d,,0,,2017
0.86-1.00,M5.0_30d,,0,,2017
0.00-0.14,M5.0_30d,0.0135,63,0.0,2018
0.14-0.29,M5.0_30d,0.1461,1,1.0,2018
0.29-0.43,M5.0_30d,,0,,2018
0.43-0.57,M5.0_30d,,0,,2018
0.57-0.71,M5.0_30d,,0,,2018
0.71-0.86,M5.0_30d,,0,,2018
0.86-1.00,M5.0_30d,,0,,2018
0.00-0.14,M5.0_30d,0.0135,63,0.0,2019
0.14-0.29,M5.0_30d,0.1552,1,1.0,2019
0.29-0.43,M5.0_30d,,0,,2019
0.43-0.57,M5.0_30d,,0,,2019
0.57-0.71,M5.0_30d,,0,,2019
0.71-0.86,M5.0_30d,,0,,2019
0.86-1.00,M5.0_30d,,0,,2019
0.00-0.14,M5.0_30d,0.0135,63,0.0,2020
0.14-0.29,M5.0_30d,0.1458,1,0.0,2020
0.29-0.43,M5.0_30d,,0,,2020
0.43-0.57,M5.0_30d,,0,,2020
0.57-0.71,M5.0_30d,,0,,2020
0.71-0.86,M5.0_30d,,0,,2020
0.86-1.00,M5.0_30d,,0,,2020
0.00-0.14,M5.0_30d,0.0134,63,0.0,2021
0.14-0.29,M5.0_30d,0.1509,1,0.0,2021
0.29-0.43,M5.0_30d,,0,,2021
0.43-0.57,M5.0_30d,,0,,2021
0.57-0.71,M5.0_30d,,0,,2021
0.71-0.86,M5.0_30d,,0,,2021
0.86-1.00,M5.0_30d,,0,,2021
0.00-0.14,M5.0_30d,0.0135,63,0.0159,2022
0.14-0.29,M5.0_30d,0.1578,1,0.0,2022
0.29-0.43,M5.0_30d,,0,,2022
0.43-0.57,M5.0_30d,,0,,2022
0.57-0.71,M5.0_30d,,0,,2022
0.71-0.86,M5.0_30d,,0,,2022
0.86-1.00,M5.0_30d,,0,,2022
0.00-0.14,M5.0_30d,0.0132,63,0.0159,2023
0.14-0.29,M5.0_30d,0.1533,1,0.0,2023
0.29-0.43,M5.0_30d,,0,,2023
0.43-0.57,M5.0_30d,,0,,2023
0.57-0.71,M5.0_30d,,0,,2023
0.71-0.86,M5.0_30d,,0,,2023
0.86-1.00,M5.0_30d,,0,,2023
