origin_time,horizon,threshold,n_train_events,train_exposure_years,forecast_rate_per_year,forecast_probability,forecast_ci_lower,forecast_ci_upper,n_observed_in_horizon,observed_binary
1995-01-01T00:00:00+00:00,7d,5.0,299,21.79,13.722072,0.231245,0.208651,0.255129,0,0
1996-01-01T00:00:00+00:00,7d,5.0,309,22.876,13.507667,0.22808,0.206111,0.251293,1,1
1997-01-01T00:00:00+00:00,7d,5.0,318,23.852,13.332088,0.225478,0.204031,0.24813,0,0
1998-01-01T00:00:00+00:00,7d,5.0,330,24.882,13.262532,0.224445,0.203469,0.246581,0,0
1999-01-01T00:00:00+00:00,7d,5.0,341,25.86,13.186278,0.22331,0.202761,0.244981,0,0
2000-01-01T00:00:00+00:00,7d,5.0,345,26.885,12.832295,0.218023,0.198012,0.239136,1,1
2001-01-01T00:00:00+00:00,7d,5.0,354,27.865,12.704271,0.216102,0.196494,0.23678,0,0
2002-01-01T00:00:00+00:00,7d,5.0,367,28.868,12.713013,0.216234,0.196961,0.236538,0,0
2003-01-01T00:00:00+00:00,7d,5.0,372,29.879,12.450253,0.212277,0.193438,0.232127,0,0
2004-01-01T00:00:00+00:00,7d,5.0,381,30.879,12.338426,0.210587,0.192098,0.230061,0,0
2005-01-01T00:00:00+00:00,7d,5.0,387,31.828,12.159099,0.207869,0.18973,0.226974,0,0
2006-01-01T00:00:00+00:00,7d,5.0,396,32.887,12.041121,0.206076,0.188277,0.224816,0,0
2007-01-01T00:00:00+00:00,7d,5.0,412,33.815,12.183864,0.208245,0.190629,0.226768,0,0
2008-01-01T00:00:00+00:00,7d,5.0,420,34.877,12.042324,0.206094,0.188802,0.224273,0,0
2009-01-01T00:00:00+00:00,7d,5.0,428,35.871,11.931688,0.204409,0.1874,0.222285,1,1
2010-01-01T00:00:00+00:00,7d,5.0,447,36.888,12.117862,0.207243,0.190392,0.224928,0,0
2011-01-01T00:00:00+00:00,7d,5.0,452,37.882,11.931787,0.204411,0.187853,0.221789,0,0
2012-01-01T00:00:00+00:00,7d,5.0,470,38.873,12.090742,0.206831,0.190421,0.224033,0,0
2013-01-01T00:00:00+00:00,7d,5.0,494,39.886,12.385382,0.211297,0.194983,0.22837,0,0
2014-01-01T00:00:00+00:00,7d,5.0,508,40.886,12.42472,0.211891,0.195762,0.22876,0,0
2015-01-01T00:00:00+00:00,7d,5.0,521,41.888,12.438012,0.212092,0.19615,0.228755,0,0
2016-01-01T00:00:00+00:00,7d,5.0,531,42.864,12.387915,0.211335,0.195591,0.227786,1,1
2017-01-01T00:00:00+00:00,7d,5.0,546,43.876,12.444291,0.212187,0.196603,0.228458,2,1
2018-01-01T00:00:00+00:00,7d,5.0,558,44.881,12.432969,0.212016,0.19661,0.228095,1,1
2019-01-01T00:00:00+00:00,7d,5.0,568,45.887,12.37812,0.211187,0.195968,0.227067,0,0
2020-01-01T00:00:00+00:00,7d,5.0,584,46.862,12.462054,0.212455,0.197364,0.228189,0,0
2021-01-01T00:00:00+00:00,7d,5.0,601,47.855,12.558741,0.213913,0.198946,0.229506,0,0
2022-01-01T00:00:00+00:00,7d,5.0,618,48.878,12.643747,0.215193,0.200354,0.230641,0,0
2023-01-01T00:00:00+00:00,7d,5.0,623,49.884,12.488956,0.212861,0.198221,0.228104,0,0
