origin_time,horizon,threshold,n_train_events,train_exposure_years,forecast_rate_per_year,forecast_probability,forecast_ci_lower,forecast_ci_upper,n_observed_in_horizon,observed_binary
1995-01-01T00:00:00+00:00,90d,5.0,299,21.79,13.722072,0.965994,0.950648,0.977337,3,1
1996-01-01T00:00:00+00:00,90d,5.0,309,22.876,13.507667,0.964149,0.948572,0.975789,1,1
1997-01-01T00:00:00+00:00,90d,5.0,318,23.852,13.332088,0.962564,0.946812,0.974441,2,1
1998-01-01T00:00:00+00:00,90d,5.0,330,24.882,13.262532,0.961917,0.946328,0.973755,2,1
1999-01-01T00:00:00+00:00,90d,5.0,341,25.86,13.186278,0.961194,0.945711,0.97303,1,1
2000-01-01T00:00:00+00:00,90d,5.0,345,26.885,12.832295,0.957657,0.941403,0.970218,4,1
2001-01-01T00:00:00+00:00,90d,5.0,354,27.865,12.704271,0.9563,0.939962,0.969011,3,1
2002-01-01T00:00:00+00:00,90d,5.0,367,28.868,12.713013,0.956394,0.940408,0.968884,0,0
2003-01-01T00:00:00+00:00,90d,5.0,372,29.879,12.450253,0.953478,0.936958,0.966492,1,1
2004-01-01T00:00:00+00:00,90d,5.0,381,30.879,12.338426,0.952178,0.935598,0.965314,1,1
2005-01-01T00:00:00+00:00,90d,5.0,387,31.828,12.159099,0.950017,0.933128,0.963483,3,1
2006-01-01T00:00:00+00:00,90d,5.0,396,32.887,12.041121,0.948543,0.93157,0.96215,7,1
2007-01-01T00:00:00+00:00,90d,5.0,412,33.815,12.183864,0.950322,0.934076,0.963358,1,1
2008-01-01T00:00:00+00:00,90d,5.0,420,34.877,12.042324,0.948558,0.932138,0.961808,1,1
2009-01-01T00:00:00+00:00,90d,5.0,428,35.871,11.931688,0.947137,0.930614,0.96053,4,1
2010-01-01T00:00:00+00:00,90d,5.0,447,36.888,12.117862,0.949507,0.933828,0.96222,2,1
2011-01-01T00:00:00+00:00,90d,5.0,452,37.882,11.931787,0.947138,0.93111,0.960205,4,1
2012-01-01T00:00:00+00:00,90d,5.0,470,38.873,12.090742,0.949168,0.933858,0.961656,1,1
2013-01-01T00:00:00+00:00,90d,5.0,494,39.886,12.385382,0.952728,0.938494,0.964322,4,1
2014-01-01T00:00:00+00:00,90d,5.0,508,40.886,12.42472,0.953184,0.939254,0.964553,3,1
2015-01-01T00:00:00+00:00,90d,5.0,521,41.888,12.438012,0.953337,0.93963,0.96455,2,1
2016-01-01T00:00:00+00:00,90d,5.0,531,42.864,12.387915,0.952758,0.939088,0.963973,2,1
2017-01-01T00:00:00+00:00,90d,5.0,546,43.876,12.444291,0.953409,0.940066,0.964374,5,1
2018-01-01T00:00:00+00:00,90d,5.0,558,44.881,12.432969,0.953279,0.940072,0.964158,1,1
2019-01-01T00:00:00+00:00,90d,5.0,568,45.887,12.37812,0.952643,0.939453,0.963539,4,1
2020-01-01T00:00:00+00:00,90d,5.0,584,46.862,12.462054,0.953613,0.940792,0.964214,1,1
2021-01-01T00:00:00+00:00,90d,5.0,601,47.855,12.558741,0.954705,0.942275,0.964991,2,1
2022-01-01T00:00:00+00:00,90d,5.0,618,48.878,12.643747,0.955644,0.943566,0.965649,1,1
2023-01-01T00:00:00+00:00,90d,5.0,623,49.884,12.488956,0.953919,0.941599,0.964163,1,1
