origin_time,horizon,threshold,n_train_events,train_exposure_years,forecast_rate_per_year,forecast_probability,forecast_ci_lower,forecast_ci_upper,n_observed_in_horizon,observed_binary
1995-01-01T00:00:00+00:00,7d,4.5,564,21.79,25.883776,0.391076,0.366162,0.416519,0,0
1996-01-01T00:00:00+00:00,7d,4.5,607,22.876,26.534479,0.398622,0.374295,0.423423,1,1
1997-01-01T00:00:00+00:00,7d,4.5,660,23.852,27.67037,0.411572,0.387747,0.435801,0,0
1998-01-01T00:00:00+00:00,7d,4.5,696,24.882,27.971887,0.414963,0.39164,0.438661,2,1
1999-01-01T00:00:00+00:00,7d,4.5,724,25.86,27.996673,0.415241,0.392363,0.438478,2,1
2000-01-01T00:00:00+00:00,7d,4.5,755,26.885,28.082269,0.416199,0.393764,0.438977,2,1
2001-01-01T00:00:00+00:00,7d,4.5,786,27.865,28.207788,0.417602,0.395566,0.439963,0,0
2002-01-01T00:00:00+00:00,7d,4.5,823,28.868,28.509018,0.420954,0.399311,0.442902,0,0
2003-01-01T00:00:00+00:00,7d,4.5,846,29.879,28.314285,0.418789,0.397512,0.440367,0,0
2004-01-01T00:00:00+00:00,7d,4.5,875,30.879,28.33628,0.419034,0.398105,0.440254,1,1
2005-01-01T00:00:00+00:00,7d,4.5,922,31.828,28.968189,0.426028,0.405427,0.44689,1,1
2006-01-01T00:00:00+00:00,7d,4.5,962,32.887,29.25141,0.429135,0.408877,0.449637,0,0
2007-01-01T00:00:00+00:00,7d,4.5,1009,33.815,29.838638,0.435523,0.415566,0.455702,0,0
2008-01-01T00:00:00+00:00,7d,4.5,1046,34.877,29.991122,0.43717,0.417525,0.457026,0,0
2009-01-01T00:00:00+00:00,7d,4.5,1097,35.871,30.581921,0.443507,0.424161,0.463043,2,1
2010-01-01T00:00:00+00:00,7d,4.5,1139,36.888,30.877505,0.446651,0.427587,0.465892,0,0
2011-01-01T00:00:00+00:00,7d,4.5,1158,37.882,30.568605,0.443365,0.42454,0.46237,0,0
2012-01-01T00:00:00+00:00,7d,4.5,1207,38.873,31.050054,0.448478,0.429916,0.467203,1,1
2013-01-01T00:00:00+00:00,7d,4.5,1272,39.886,31.891105,0.457296,0.439015,0.475718,2,1
2014-01-01T00:00:00+00:00,7d,4.5,1320,40.886,32.284706,0.461375,0.443341,0.479537,1,1
2015-01-01T00:00:00+00:00,7d,4.5,1394,41.888,33.279441,0.471546,0.453791,0.489406,1,1
2016-01-01T00:00:00+00:00,7d,4.5,1448,42.864,33.780981,0.476601,0.459084,0.494212,2,1
2017-01-01T00:00:00+00:00,7d,4.5,1502,43.876,34.233195,0.481117,0.463835,0.498482,4,1
2018-01-01T00:00:00+00:00,7d,4.5,1558,44.881,34.714275,0.485879,0.468827,0.503004,1,1
2019-01-01T00:00:00+00:00,7d,4.5,1607,45.887,35.020491,0.488888,0.472047,0.505794,0,0
2020-01-01T00:00:00+00:00,7d,4.5,1659,46.862,35.401622,0.492608,0.475973,0.5093,0,0
2021-01-01T00:00:00+00:00,7d,4.5,1732,47.855,36.192577,0.500241,0.483843,0.516683,0,0
2022-01-01T00:00:00+00:00,7d,4.5,1815,48.878,37.133336,0.509171,0.493024,0.525346,1,1
2023-01-01T00:00:00+00:00,7d,4.5,1872,49.884,37.527007,0.51286,0.496911,0.528831,2,1
