origin_time,horizon,threshold,n_train_events,train_exposure_years,forecast_rate_per_year,forecast_probability,forecast_ci_lower,forecast_ci_upper,n_observed_in_horizon,observed_binary
1995-01-01T00:00:00+00:00,30d,5.5,45,21.79,2.065195,0.156019,0.116378,0.203057,0,0
1996-01-01T00:00:00+00:00,30d,5.5,47,22.876,2.054564,0.155282,0.116614,0.201009,0,0
1997-01-01T00:00:00+00:00,30d,5.5,47,23.852,1.970466,0.149427,0.112119,0.193636,0,0
1998-01-01T00:00:00+00:00,30d,5.5,49,24.882,1.969285,0.149345,0.11278,0.192522,0,0
1999-01-01T00:00:00+00:00,30d,5.5,50,25.86,1.933472,0.146839,0.111188,0.188902,0,0
2000-01-01T00:00:00+00:00,30d,5.5,51,26.885,1.896948,0.144276,0.109532,0.185236,0,0
2001-01-01T00:00:00+00:00,30d,5.5,53,27.865,1.902052,0.144634,0.110436,0.184821,0,0
2002-01-01T00:00:00+00:00,30d,5.5,53,28.868,1.835939,0.139977,0.10681,0.17901,0,0
2003-01-01T00:00:00+00:00,30d,5.5,53,29.879,1.773826,0.135578,0.103391,0.173513,0,0
2004-01-01T00:00:00+00:00,30d,5.5,56,30.879,1.813522,0.138392,0.106419,0.175872,0,0
2005-01-01T00:00:00+00:00,30d,5.5,56,31.828,1.759456,0.134557,0.103417,0.171106,0,0
2006-01-01T00:00:00+00:00,30d,5.5,57,32.887,1.733192,0.132688,0.10221,0.16843,0,0
2007-01-01T00:00:00+00:00,30d,5.5,59,33.815,1.744777,0.133513,0.103353,0.168777,0,0
2008-01-01T00:00:00+00:00,30d,5.5,60,34.877,1.720332,0.131772,0.102217,0.1663,0,0
2009-01-01T00:00:00+00:00,30d,5.5,60,35.871,1.672667,0.128366,0.099531,0.162088,0,0
2010-01-01T00:00:00+00:00,30d,5.5,66,36.888,1.789215,0.13667,0.107436,0.170529,0,0
2011-01-01T00:00:00+00:00,30d,5.5,67,37.882,1.76865,0.13521,0.106475,0.168469,0,0
2012-01-01T00:00:00+00:00,30d,5.5,70,38.873,1.800749,0.137487,0.108901,0.170448,0,0
2013-01-01T00:00:00+00:00,30d,5.5,76,39.886,1.905443,0.144872,0.116008,0.177896,1,1
2014-01-01T00:00:00+00:00,30d,5.5,79,40.886,1.932191,0.146749,0.118073,0.179457,0,0
2015-01-01T00:00:00+00:00,30d,5.5,80,41.888,1.909868,0.145183,0.116962,0.177359,0,0
2016-01-01T00:00:00+00:00,30d,5.5,80,42.864,1.866353,0.142122,0.114455,0.173692,1,1
2017-01-01T00:00:00+00:00,30d,5.5,83,43.876,1.891715,0.143908,0.116405,0.175199,1,1
2018-01-01T00:00:00+00:00,30d,5.5,84,44.881,1.87163,0.142494,0.115399,0.173309,1,1
2019-01-01T00:00:00+00:00,30d,5.5,85,45.887,1.85236,0.141136,0.114433,0.171492,0,0
2020-01-01T00:00:00+00:00,30d,5.5,86,46.862,1.835165,0.139922,0.113582,0.169854,0,0
2021-01-01T00:00:00+00:00,30d,5.5,89,47.855,1.85978,0.141659,0.115448,0.171366,0,0
2022-01-01T00:00:00+00:00,30d,5.5,94,48.878,1.923159,0.146116,0.119836,0.175768,0,0
2023-01-01T00:00:00+00:00,30d,5.5,95,49.884,1.904415,0.1448,0.118873,0.174045,0,0
