origin_time,horizon,threshold,n_train_events,train_exposure_years,forecast_rate_per_year,forecast_probability,forecast_ci_lower,forecast_ci_upper,n_observed_in_horizon,observed_binary
1995-01-01T00:00:00+00:00,90d,6.0,12,21.79,0.550719,0.126896,0.067717,0.211042,0,0
1996-01-01T00:00:00+00:00,90d,6.0,13,22.876,0.568284,0.130667,0.071848,0.212942,0,0
1997-01-01T00:00:00+00:00,90d,6.0,13,23.852,0.545022,0.12567,0.069011,0.20519,0,0
1998-01-01T00:00:00+00:00,90d,6.0,15,24.882,0.602842,0.138038,0.079777,0.217296,0,0
1999-01-01T00:00:00+00:00,90d,6.0,15,25.86,0.580042,0.133182,0.076879,0.21001,0,0
2000-01-01T00:00:00+00:00,90d,6.0,15,26.885,0.557926,0.128445,0.074059,0.202877,0,0
2001-01-01T00:00:00+00:00,90d,6.0,15,27.865,0.538317,0.124224,0.071551,0.196499,0,0
2002-01-01T00:00:00+00:00,90d,6.0,15,28.868,0.519605,0.120177,0.069152,0.190366,0,0
2003-01-01T00:00:00+00:00,90d,6.0,15,29.879,0.502026,0.116357,0.066893,0.184561,0,0
2004-01-01T00:00:00+00:00,90d,6.0,15,30.879,0.485765,0.11281,0.064798,0.179154,0,0
2005-01-01T00:00:00+00:00,90d,6.0,15,31.828,0.471283,0.109638,0.062928,0.174309,0,0
2006-01-01T00:00:00+00:00,90d,6.0,15,32.887,0.456103,0.106301,0.060965,0.169199,0,0
2007-01-01T00:00:00+00:00,90d,6.0,15,33.815,0.443587,0.103541,0.059342,0.164962,0,0
2008-01-01T00:00:00+00:00,90d,6.0,15,34.877,0.430083,0.100553,0.057589,0.160367,0,0
2009-01-01T00:00:00+00:00,90d,6.0,15,35.871,0.418167,0.097908,0.056039,0.156291,0,0
2010-01-01T00:00:00+00:00,90d,6.0,16,36.888,0.433749,0.101365,0.059262,0.159337,0,0
2011-01-01T00:00:00+00:00,90d,6.0,16,37.882,0.422364,0.098841,0.057752,0.155498,1,1
2012-01-01T00:00:00+00:00,90d,6.0,18,38.873,0.46305,0.10783,0.065386,0.165001,0,0
2013-01-01T00:00:00+00:00,90d,6.0,19,39.886,0.476361,0.110751,0.06823,0.167482,0,0
2014-01-01T00:00:00+00:00,90d,6.0,19,40.886,0.464704,0.108194,0.066617,0.16374,0,0
2015-01-01T00:00:00+00:00,90d,6.0,19,41.888,0.453594,0.105749,0.065078,0.160157,0,0
2016-01-01T00:00:00+00:00,90d,6.0,19,42.864,0.443259,0.103469,0.063643,0.15681,1,1
2017-01-01T00:00:00+00:00,90d,6.0,22,43.876,0.501418,0.116225,0.074508,0.170606,0,0
2018-01-01T00:00:00+00:00,90d,6.0,22,44.881,0.490189,0.113776,0.072902,0.167124,0,0
2019-01-01T00:00:00+00:00,90d,6.0,22,45.887,0.479434,0.111425,0.071361,0.163776,0,0
2020-01-01T00:00:00+00:00,90d,6.0,22,46.862,0.469461,0.109238,0.06993,0.160659,0,0
2021-01-01T00:00:00+00:00,90d,6.0,22,47.855,0.459721,0.107098,0.06853,0.157604,0,0
2022-01-01T00:00:00+00:00,90d,6.0,24,48.878,0.491019,0.113958,0.074592,0.16475,0,0
2023-01-01T00:00:00+00:00,90d,6.0,24,49.884,0.481115,0.111793,0.073144,0.161712,0,0
