origin_time,horizon,threshold,n_train_events,train_exposure_years,forecast_rate_per_year,forecast_probability,forecast_ci_lower,forecast_ci_upper,n_observed_in_horizon,observed_binary
1995-01-01T00:00:00+00:00,30d,4.5,564,21.79,25.883776,0.880684,0.858311,0.90063,3,1
1996-01-01T00:00:00+00:00,30d,4.5,607,22.876,26.534479,0.886893,0.86594,0.905571,6,1
1997-01-01T00:00:00+00:00,30d,4.5,660,23.852,27.67037,0.896968,0.877863,0.913958,2,1
1998-01-01T00:00:00+00:00,30d,4.5,696,24.882,27.971887,0.899489,0.881157,0.915812,2,1
1999-01-01T00:00:00+00:00,30d,4.5,724,25.86,27.996673,0.899693,0.881761,0.915694,3,1
2000-01-01T00:00:00+00:00,30d,4.5,755,26.885,28.082269,0.900396,0.882925,0.916015,7,1
2001-01-01T00:00:00+00:00,30d,4.5,786,27.865,28.207788,0.901417,0.884409,0.916646,1,1
2002-01-01T00:00:00+00:00,30d,4.5,823,28.868,28.509018,0.903827,0.887448,0.918504,0,0
2003-01-01T00:00:00+00:00,30d,4.5,846,29.879,28.314285,0.902276,0.885995,0.916903,0,0
2004-01-01T00:00:00+00:00,30d,4.5,875,30.879,28.33628,0.902452,0.886476,0.916831,1,1
2005-01-01T00:00:00+00:00,30d,4.5,922,31.828,28.968189,0.907386,0.892277,0.920975,3,1
2006-01-01T00:00:00+00:00,30d,4.5,962,32.887,29.25141,0.909516,0.894931,0.922644,1,1
2007-01-01T00:00:00+00:00,30d,4.5,1009,33.815,29.838638,0.913776,0.899932,0.926232,2,1
2008-01-01T00:00:00+00:00,30d,4.5,1046,34.877,29.991122,0.91485,0.901362,0.926998,4,1
2009-01-01T00:00:00+00:00,30d,4.5,1097,35.871,30.581921,0.918883,0.906088,0.930402,3,1
2010-01-01T00:00:00+00:00,30d,4.5,1139,36.888,30.877505,0.920829,0.90846,0.931971,1,1
2011-01-01T00:00:00+00:00,30d,4.5,1158,37.882,30.568605,0.918794,0.906353,0.930027,3,1
2012-01-01T00:00:00+00:00,30d,4.5,1207,38.873,31.050054,0.921943,0.910045,0.932684,2,1
2013-01-01T00:00:00+00:00,30d,4.5,1272,39.886,31.891105,0.927153,0.916039,0.937175,4,1
2014-01-01T00:00:00+00:00,30d,4.5,1320,40.886,32.284706,0.92947,0.918779,0.939113,7,1
2015-01-01T00:00:00+00:00,30d,4.5,1394,41.888,33.279441,0.935004,0.925115,0.943909,5,1
2016-01-01T00:00:00+00:00,30d,4.5,1448,42.864,33.780981,0.937627,0.928176,0.946136,3,1
2017-01-01T00:00:00+00:00,30d,4.5,1502,43.876,34.233195,0.939901,0.930841,0.948059,7,1
2018-01-01T00:00:00+00:00,30d,4.5,1558,44.881,34.714275,0.942229,0.933559,0.950036,7,1
2019-01-01T00:00:00+00:00,30d,4.5,1607,45.887,35.020491,0.943664,0.935268,0.951227,4,1
2020-01-01T00:00:00+00:00,30d,4.5,1659,46.862,35.401622,0.945401,0.937305,0.952693,4,1
2021-01-01T00:00:00+00:00,30d,4.5,1732,47.855,36.192577,0.948835,0.941242,0.955669,5,1
2022-01-01T00:00:00+00:00,30d,4.5,1815,48.878,37.133336,0.952639,0.945592,0.958975,10,1
2023-01-01T00:00:00+00:00,30d,4.5,1872,49.884,37.527007,0.954146,0.947358,0.960251,4,1
