cell_id,expected_count,forecast_start_days,horizon_days,lat_center,lon_center,probability_at_least_one,rate_per_year,threshold
cell_00_00,0.93397,18941.366,0.0821,20.5,88.5,0.60701,4153.290219,4.5
cell_00_01,2.061341,18941.366,0.0821,20.5,89.5,0.872717,9166.614539,4.5
cell_00_02,0.794298,18941.366,0.0821,20.5,90.5,0.548102,3532.178224,4.5
cell_00_03,0.867849,18941.366,0.0821,20.5,91.5,0.580146,3859.251802,4.5
cell_00_04,2.55483,18941.366,0.0821,20.5,92.5,0.922295,11361.121451,4.5
cell_00_05,9.887304,18941.366,0.0821,20.5,93.5,0.999949,43968.039031,4.5
cell_00_06,13.12093,18941.366,0.0821,20.5,94.5,0.999998,58347.711317,4.5
cell_00_07,4.955478,18941.366,0.0821,20.5,95.5,0.992955,22036.609888,4.5
cell_01_00,1.068097,18941.366,0.0821,21.5,88.5,0.656338,4749.740897,4.5
cell_01_01,1.95932,18941.366,0.0821,21.5,89.5,0.859046,8712.937752,4.5
cell_01_02,0.745152,18941.366,0.0821,21.5,90.5,0.525338,3313.629323,4.5
cell_01_03,1.124149,18941.366,0.0821,21.5,91.5,0.675071,4998.999756,4.5
cell_01_04,5.703547,18941.366,0.0821,21.5,92.5,0.996666,25363.211985,4.5
cell_01_05,19.0893,18941.366,0.0821,21.5,93.5,1.0,84888.564176,4.5
cell_01_06,24.282504,18941.366,0.0821,21.5,94.5,1.0,107982.321203,4.5
cell_01_07,8.724596,18941.366,0.0821,21.5,95.5,0.999837,38797.567471,4.5
cell_02_00,0.125984,18941.366,0.0821,22.5,88.5,0.118371,560.241836,4.5
cell_02_01,0.437021,18941.366,0.0821,22.5,89.5,0.354042,1943.39486,4.5
cell_02_02,0.710443,18941.366,0.0821,22.5,90.5,0.508573,3159.280812,4.5
cell_02_03,3.226086,18941.366,0.0821,22.5,91.5,0.960287,14346.143048,4.5
cell_02_04,14.2036,18941.366,0.0821,22.5,92.5,0.999999,63162.256448,4.5
cell_02_05,30.133651,18941.366,0.0821,22.5,93.5,1.0,134001.896002,4.5
cell_02_06,47.501103,18941.366,0.0821,22.5,94.5,1.0,211233.545609,4.5
cell_02_07,25.143988,18941.366,0.0821,22.5,95.5,1.0,111813.272012,4.5
cell_03_00,0.009983,18941.366,0.0821,23.5,88.5,0.009933,44.393659,4.5
cell_03_01,0.16955,18941.366,0.0821,23.5,89.5,0.155956,753.976767,4.5
cell_03_02,2.049702,18941.366,0.0821,23.5,90.5,0.871227,9114.859388,4.5
cell_03_03,5.653581,18941.366,0.0821,23.5,91.5,0.996495,25141.014439,4.5
cell_03_04,14.518687,18941.366,0.0821,23.5,92.5,1.0,64563.423253,4.5
cell_03_05,44.184907,18941.366,0.0821,23.5,93.5,1.0,196486.689863,4.5
cell_03_06,70.240932,18941.366,0.0821,23.5,94.5,1.0,312355.71916,4.5
cell_03_07,32.325819,18941.366,0.0821,23.5,95.5,1.0,143750.291962,4.5
cell_04_00,0.431695,18941.366,0.0821,24.5,88.5,0.350593,1919.71203,4.5
cell_04_01,0.671378,18941.366,0.0821,24.5,89.5,0.488996,2985.564302,4.5
cell_04_02,3.478188,18941.366,0.0821,24.5,90.5,0.969137,15467.217373,4.5
cell_04_03,9.672659,18941.366,0.0821,24.5,91.5,0.999937,43013.52795,4.5
cell_04_04,17.43689,18941.366,0.0821,24.5,92.5,1.0,77540.433702,4.5
cell_04_05,33.663844,18941.366,0.0821,24.5,93.5,1.0,149700.380829,4.5
cell_04_06,73.311769,18941.366,0.0821,24.5,94.5,1.0,326011.479865,4.5
cell_04_07,47.147317,18941.366,0.0821,24.5,95.5,1.0,209660.286649,4.5
cell_05_00,1.664037,18941.366,0.0821,25.5,88.5,0.810627,7399.836766,4.5
cell_05_01,3.01557,18941.366,0.0821,25.5,89.5,0.950982,13409.996562,4.5
cell_05_02,7.555641,18941.366,0.0821,25.5,90.5,0.999477,33599.321446,4.5
cell_05_03,11.713568,18941.366,0.0821,25.5,91.5,0.999992,52089.283329,4.5
cell_05_04,12.263342,18941.366,0.0821,25.5,92.5,0.999995,54534.085159,4.5
cell_05_05,14.174614,18941.366,0.0821,25.5,93.5,0.999999,63033.355485,4.5
cell_05_06,33.672207,18941.366,0.0821,25.5,94.5,1.0,149737.569165,4.5
cell_05_07,34.975888,18941.366,0.0821,25.5,95.5,1.0,155534.934343,4.5
cell_06_00,6.195744,18941.366,0.0821,26.5,88.5,0.997962,27551.968008,4.5
cell_06_01,4.892903,18941.366,0.0821,26.5,89.5,0.9925,21758.342112,4.5
cell_06_02,7.365142,18941.366,0.0821,26.5,90.5,0.999367,32752.187939,4.5
cell_06_03,12.427117,18941.366,0.0821,26.5,91.5,0.999996,55262.379032,4.5
cell_06_04,25.008322,18941.366,0.0821,26.5,92.5,1.0,111209.973849,4.5
cell_06_05,16.679093,18941.366,0.0821,26.5,93.5,1.0,74170.570663,4.5
